Apr 2025	Apr 2024	Change	Programming Language	Ratings	Change_2
1	1	""	Python	23.08%	+6.67%
2	3	up	C++	10.33%	+0.56%
3	2	down	C	9.94%	-0.27%
4	4	""	Java	9.63%	+0.69%
5	5	""	C#	4.39%	-2.37%
6	6	""	JavaScript	3.71%	+0.82%
7	7	""	Go	3.02%	+1.17%
8	8	""	Visual Basic	2.94%	+1.24%
9	11	up	Delphi/Object Pascal	2.53%	+1.06%
10	9	down	SQL	2.19%	+0.57%
11	10	down	Fortran	2.04%	+0.57%
12	15	up	Scratch	1.35%	+0.21%
13	17	up	PHP	1.31%	+0.21%
14	20	up	R	1.19%	+0.34%
15	24	up	Ada	1.09%	+0.36%
16	16	""	MATLAB	1.07%	-0.04%
17	12	down	Assembly language	0.97%	-0.32%
18	19	up	Rust	0.96%	-0.08%
19	23	up	Perl	0.91%	+0.15%
20	21	up	COBOL	0.91%	+0.11%
